material_id,name,category,density_kg_m3,thermal_conductivity_w_mk,carbon_kg_per_m2,eco_grade,source
MAT_251,Steel Variant 1,Steel,7952.64,52.331,2109.17,C,Engineering Toolbox
MAT_252,Wood Variant 8,Wood,605.78,0.195,62.65,A,EPD Europe
MAT_253,Glass Variant 15,Glass,2508.68,1.019,203.74,D,ICE Database
MAT_254,Glass Variant 17,Glass,2416.08,1.028,255.84,B,ICE Database
MAT_255,Wood Variant 7,Wood,740.35,0.167,44.11,D,EPD Europe
MAT_256,Glass Variant 19,Glass,2470.23,0.884,314.87,A,Engineering Toolbox
MAT_257,Insulation Variant 12,Insulation,92.95,0.023,76.51,D,Engineering Toolbox
MAT_258,Glass Variant 10,Glass,2424.57,0.947,335.03,D,EPD Europe
MAT_259,Wood Variant 6,Wood,538.31,0.17,87.97,A,ICE Database
MAT_260,Concrete Variant 18,Concrete,2237.43,1.424,241.45,D,Engineering Toolbox
MAT_261,Steel Variant 4,Steel,7933.2,53.808,1703.17,C,EPD Europe
MAT_262,Insulation Variant 16,Insulation,97.91,0.044,42.57,D,Engineering Toolbox
MAT_263,Concrete Variant 1,Concrete,2252.51,1.804,212.31,A,EPD Europe
MAT_264,Glass Variant 1,Glass,2464.23,0.858,315.44,C,EPD Europe
MAT_265,Steel Variant 8,Steel,7784.02,50.098,2163.01,B,Engineering Toolbox
MAT_266,Insulation Variant 18,Insulation,91.77,0.036,43.75,B,Engineering Toolbox
MAT_267,Wood Variant 1,Wood,713.59,0.137,49.62,B,EPD Europe
MAT_268,Glass Variant 9,Glass,2405.15,1.03,324.18,A,EPD Europe
MAT_269,Glass Variant 12,Glass,2533.91,1.014,214.22,B,EPD Europe
MAT_270,Wood Variant 5,Wood,676.98,0.167,76.09,D,Engineering Toolbox
MAT_271,Steel Variant 11,Steel,7712.51,45.761,1577.77,A,ICE Database
MAT_272,Concrete Variant 5,Concrete,2411.95,1.417,192.07,D,Engineering Toolbox
MAT_273,Wood Variant 5,Wood,645.27,0.123,85.68,C,EPD Europe
MAT_274,Insulation Variant 12,Insulation,117.42,0.042,50.71,C,Engineering Toolbox
MAT_275,Steel Variant 9,Steel,8023.36,53.368,1504.91,B,Engineering Toolbox
MAT_276,Concrete Variant 12,Concrete,2277.24,1.75,297.62,A,EPD Europe
MAT_277,Wood Variant 16,Wood,610.29,0.196,50.93,A,Engineering Toolbox
MAT_278,Insulation Variant 20,Insulation,59.77,0.042,29.53,D,EPD Europe
MAT_279,Wood Variant 10,Wood,629.91,0.146,41.58,A,Engineering Toolbox
MAT_280,Concrete Variant 3,Concrete,2265.08,1.785,198.7,D,ICE Database
MAT_281,Steel Variant 18,Steel,7703.57,55.025,1694.91,D,Engineering Toolbox
MAT_282,Steel Variant 7,Steel,7976.31,59.068,2422.94,C,Engineering Toolbox
MAT_283,Insulation Variant 15,Insulation,91.83,0.026,37.87,C,EPD Europe
MAT_284,Steel Variant 6,Steel,7790.88,56.213,1665.49,A,ICE Database
MAT_285,Insulation Variant 13,Insulation,69.4,0.04,66.85,C,Engineering Toolbox
MAT_286,Concrete Variant 3,Concrete,2496.52,1.726,269.9,C,Engineering Toolbox
MAT_287,Steel Variant 15,Steel,7824.89,49.646,1557.4,B,EPD Europe
MAT_288,Glass Variant 12,Glass,2589.58,0.875,236.9,C,Engineering Toolbox
MAT_289,Concrete Variant 2,Concrete,2296.53,1.406,267.41,D,ICE Database
MAT_290,Insulation Variant 10,Insulation,56.31,0.042,75.69,A,ICE Database
MAT_291,Steel Variant 14,Steel,7999.59,57.051,1547.38,A,Engineering Toolbox
MAT_292,Steel Variant 5,Steel,7781.83,58.227,1618.62,C,ICE Database
MAT_293,Insulation Variant 8,Insulation,44.39,0.024,69.49,A,Engineering Toolbox
MAT_294,Insulation Variant 10,Insulation,65.75,0.032,39.88,D,ICE Database
MAT_295,Concrete Variant 7,Concrete,2316.09,1.412,196.76,D,Engineering Toolbox
MAT_296,Concrete Variant 14,Concrete,2226.3,1.516,314.56,A,EPD Europe
MAT_297,Concrete Variant 2,Concrete,2243.59,1.525,274.94,C,ICE Database
MAT_298,Glass Variant 19,Glass,2446.58,0.82,335.72,B,Engineering Toolbox
MAT_299,Insulation Variant 12,Insulation,58.32,0.033,75.2,B,Engineering Toolbox
MAT_300,Concrete Variant 12,Concrete,2444.02,1.697,212.33,D,EPD Europe
MAT_301,Steel Variant 13,Steel,7804.75,52.39,2262.37,C,EPD Europe
MAT_302,Insulation Variant 11,Insulation,91.87,0.038,35.04,C,EPD Europe
MAT_303,Wood Variant 6,Wood,467.16,0.184,58.21,C,Engineering Toolbox
MAT_304,Concrete Variant 4,Concrete,2454.79,1.661,262.72,D,ICE Database
MAT_305,Steel Variant 6,Steel,7703.09,51.877,1741.96,C,EPD Europe
MAT_306,Concrete Variant 5,Concrete,2490.04,1.772,319.38,D,ICE Database
MAT_307,Wood Variant 1,Wood,626.26,0.166,63.76,C,EPD Europe
MAT_308,Steel Variant 19,Steel,7731.57,51.278,2191.68,B,Engineering Toolbox
MAT_309,Insulation Variant 20,Insulation,30.16,0.027,68.74,A,EPD Europe
MAT_310,Insulation Variant 14,Insulation,89.23,0.032,41.08,B,EPD Europe
MAT_311,Steel Variant 20,Steel,7784.96,49.19,2097.95,D,ICE Database
MAT_312,Wood Variant 20,Wood,590.42,0.157,68.75,B,Engineering Toolbox
MAT_313,Wood Variant 13,Wood,740.39,0.163,50.71,A,EPD Europe
MAT_314,Wood Variant 7,Wood,526.46,0.169,75.45,B,EPD Europe
MAT_315,Steel Variant 16,Steel,7882.86,56.71,2315.24,C,EPD Europe
MAT_316,Steel Variant 11,Steel,7782.66,56.664,2419.62,A,Engineering Toolbox
MAT_317,Insulation Variant 12,Insulation,52.85,0.026,51.4,C,ICE Database
MAT_318,Glass Variant 19,Glass,2425.52,0.973,233.16,B,Engineering Toolbox
MAT_319,Concrete Variant 11,Concrete,2374.3,1.872,197.82,A,EPD Europe
MAT_320,Glass Variant 7,Glass,2553.29,0.868,290.42,D,Engineering Toolbox
MAT_321,Steel Variant 6,Steel,7998.89,45.44,2440.84,D,Engineering Toolbox
MAT_322,Glass Variant 16,Glass,2456.36,0.908,265.16,D,ICE Database
MAT_323,Wood Variant 6,Wood,577.57,0.152,57.12,D,Engineering Toolbox
MAT_324,Wood Variant 6,Wood,674.17,0.126,38.1,B,Engineering Toolbox
MAT_325,Steel Variant 2,Steel,7751.62,57.184,2105.95,B,ICE Database
MAT_326,Steel Variant 9,Steel,7774.24,50.491,1772.64,D,ICE Database
MAT_327,Steel Variant 12,Steel,7856.55,51.495,1791.75,A,ICE Database
MAT_328,Glass Variant 13,Glass,2502.63,0.982,390.05,D,ICE Database
MAT_329,Insulation Variant 8,Insulation,115.55,0.024,25.29,B,ICE Database
MAT_330,Glass Variant 16,Glass,2579.17,0.939,347.46,C,Engineering Toolbox
MAT_331,Glass Variant 11,Glass,2403.42,0.8,249.2,A,ICE Database
MAT_332,Concrete Variant 13,Concrete,2428.51,1.716,271.73,B,ICE Database
MAT_333,Wood Variant 9,Wood,556.4,0.161,64.14,D,ICE Database
MAT_334,Steel Variant 7,Steel,7957.17,55.633,2410.48,A,EPD Europe
MAT_335,Steel Variant 18,Steel,7799.86,48.168,1868.3,A,ICE Database
MAT_336,Steel Variant 20,Steel,7871.57,59.457,2491.65,A,Engineering Toolbox
MAT_337,Glass Variant 9,Glass,2555.75,1.1,341.61,B,Engineering Toolbox
MAT_338,Concrete Variant 11,Concrete,2222.74,1.827,227.1,C,EPD Europe
MAT_339,Concrete Variant 3,Concrete,2373.84,1.877,233.36,B,EPD Europe
MAT_340,Glass Variant 12,Glass,2511.18,1.096,322.37,B,Engineering Toolbox
MAT_341,Glass Variant 15,Glass,2448.02,1.097,385.67,C,EPD Europe
MAT_342,Steel Variant 8,Steel,8023.61,53.878,2460.73,B,ICE Database
MAT_343,Glass Variant 20,Glass,2402.46,0.926,291.01,D,Engineering Toolbox
MAT_344,Wood Variant 7,Wood,698.25,0.121,39.01,A,EPD Europe
MAT_345,Wood Variant 2,Wood,553.39,0.128,37.02,B,ICE Database
MAT_346,Concrete Variant 15,Concrete,2266.29,1.444,237.29,A,EPD Europe
MAT_347,Wood Variant 20,Wood,718.77,0.122,48.84,C,Engineering Toolbox
MAT_348,Steel Variant 20,Steel,8023.69,54.458,1703.53,A,EPD Europe
MAT_349,Insulation Variant 14,Insulation,64.23,0.046,56.59,A,ICE Database
MAT_350,Concrete Variant 17,Concrete,2452.07,1.513,215.25,A,Engineering Toolbox
MAT_351,Wood Variant 7,Wood,503.73,0.153,58.12,A,EPD Europe
MAT_352,Glass Variant 11,Glass,2542.36,0.963,233.0,A,Engineering Toolbox
MAT_353,Concrete Variant 11,Concrete,2331.1,1.684,271.43,D,EPD Europe
MAT_354,Wood Variant 8,Wood,539.17,0.199,81.73,D,Engineering Toolbox
MAT_355,Insulation Variant 9,Insulation,87.94,0.021,40.63,D,ICE Database
MAT_356,Steel Variant 17,Steel,7910.17,47.484,2107.29,A,EPD Europe
MAT_357,Concrete Variant 12,Concrete,2455.98,1.663,261.75,D,Engineering Toolbox
MAT_358,Insulation Variant 12,Insulation,104.41,0.026,78.99,D,Engineering Toolbox
MAT_359,Insulation Variant 2,Insulation,49.9,0.028,30.05,D,Engineering Toolbox
MAT_360,Wood Variant 18,Wood,590.07,0.135,70.74,B,ICE Database
MAT_361,Wood Variant 1,Wood,590.03,0.199,57.74,A,EPD Europe
MAT_362,Wood Variant 2,Wood,452.04,0.132,43.02,C,Engineering Toolbox
MAT_363,Steel Variant 1,Steel,7835.79,52.111,1558.27,A,Engineering Toolbox
MAT_364,Glass Variant 15,Glass,2520.87,0.836,367.03,A,EPD Europe
MAT_365,Glass Variant 8,Glass,2541.83,1.084,275.12,B,Engineering Toolbox
MAT_366,Concrete Variant 16,Concrete,2337.4,1.658,209.31,D,ICE Database
MAT_367,Steel Variant 2,Steel,7957.15,55.535,1707.71,C,Engineering Toolbox
MAT_368,Insulation Variant 6,Insulation,72.49,0.025,48.93,C,Engineering Toolbox
MAT_369,Glass Variant 12,Glass,2401.82,1.054,209.51,A,Engineering Toolbox
MAT_370,Insulation Variant 5,Insulation,26.28,0.041,43.62,C,ICE Database
MAT_371,Insulation Variant 12,Insulation,20.45,0.029,65.44,B,Engineering Toolbox
MAT_372,Wood Variant 13,Wood,685.21,0.163,85.35,B,EPD Europe
MAT_373,Wood Variant 1,Wood,747.08,0.144,77.41,C,EPD Europe
MAT_374,Concrete Variant 4,Concrete,2243.48,1.66,297.25,D,ICE Database
MAT_375,Wood Variant 15,Wood,730.41,0.165,38.74,C,ICE Database
MAT_376,Insulation Variant 9,Insulation,78.92,0.031,37.87,B,ICE Database
MAT_377,Wood Variant 6,Wood,473.61,0.168,60.54,B,EPD Europe
MAT_378,Wood Variant 12,Wood,493.2,0.126,40.82,A,ICE Database
MAT_379,Concrete Variant 19,Concrete,2430.04,1.635,204.48,B,EPD Europe
MAT_380,Wood Variant 8,Wood,713.39,0.178,68.36,D,Engineering Toolbox
MAT_381,Steel Variant 4,Steel,7858.76,53.017,2443.29,D,ICE Database
MAT_382,Insulation Variant 18,Insulation,75.47,0.046,36.09,A,Engineering Toolbox
MAT_383,Wood Variant 12,Wood,566.29,0.145,58.56,C,EPD Europe
MAT_384,Wood Variant 10,Wood,582.33,0.171,30.58,C,ICE Database
MAT_385,Concrete Variant 7,Concrete,2459.71,1.795,190.76,B,Engineering Toolbox
MAT_386,Wood Variant 3,Wood,458.8,0.137,65.45,D,Engineering Toolbox
MAT_387,Glass Variant 8,Glass,2433.37,1.065,302.92,A,Engineering Toolbox
MAT_388,Wood Variant 14,Wood,474.94,0.139,52.36,B,ICE Database
MAT_389,Concrete Variant 11,Concrete,2405.01,1.895,273.6,B,ICE Database
MAT_390,Wood Variant 16,Wood,732.38,0.17,61.36,B,ICE Database
MAT_391,Insulation Variant 9,Insulation,27.33,0.033,41.88,A,Engineering Toolbox
MAT_392,Steel Variant 18,Steel,7992.03,46.532,2130.44,C,ICE Database
MAT_393,Wood Variant 13,Wood,572.89,0.142,79.78,C,Engineering Toolbox
MAT_394,Concrete Variant 2,Concrete,2374.09,1.705,187.52,D,EPD Europe
MAT_395,Insulation Variant 13,Insulation,92.21,0.034,39.72,C,ICE Database
MAT_396,Wood Variant 1,Wood,638.41,0.17,46.41,A,Engineering Toolbox
MAT_397,Steel Variant 13,Steel,8034.84,59.43,1677.83,C,Engineering Toolbox
MAT_398,Insulation Variant 4,Insulation,96.52,0.029,26.12,A,ICE Database
MAT_399,Insulation Variant 10,Insulation,80.7,0.027,56.21,C,EPD Europe
MAT_400,Insulation Variant 17,Insulation,82.1,0.046,75.63,B,Engineering Toolbox
MAT_401,Steel Variant 14,Steel,7901.05,55.055,2328.69,D,EPD Europe
MAT_402,Glass Variant 12,Glass,2541.33,0.998,216.52,A,Engineering Toolbox
MAT_403,Steel Variant 11,Steel,7790.9,51.826,1551.39,C,ICE Database
MAT_404,Steel Variant 19,Steel,7813.92,50.978,1887.85,D,EPD Europe
MAT_405,Steel Variant 6,Steel,7717.54,45.524,1974.93,A,EPD Europe
MAT_406,Steel Variant 19,Steel,7720.57,52.278,2115.78,A,ICE Database
MAT_407,Wood Variant 7,Wood,689.13,0.139,31.2,B,EPD Europe
MAT_408,Steel Variant 16,Steel,7779.25,46.991,1603.36,A,ICE Database
MAT_409,Insulation Variant 9,Insulation,31.83,0.038,61.41,D,ICE Database
MAT_410,Glass Variant 6,Glass,2426.87,0.886,360.03,A,Engineering Toolbox
MAT_411,Insulation Variant 7,Insulation,41.96,0.025,22.11,B,ICE Database
MAT_412,Concrete Variant 2,Concrete,2301.52,1.829,233.21,D,EPD Europe
MAT_413,Glass Variant 20,Glass,2532.39,1.077,259.71,D,EPD Europe
MAT_414,Glass Variant 15,Glass,2408.95,0.971,262.09,C,Engineering Toolbox
MAT_415,Glass Variant 11,Glass,2508.11,0.809,210.22,C,ICE Database
MAT_416,Glass Variant 13,Glass,2556.26,1.048,225.57,A,ICE Database
MAT_417,Insulation Variant 5,Insulation,27.18,0.037,45.51,D,EPD Europe
MAT_418,Concrete Variant 14,Concrete,2404.12,1.485,306.96,C,EPD Europe
MAT_419,Concrete Variant 7,Concrete,2494.56,1.8,309.35,A,ICE Database
MAT_420,Wood Variant 7,Wood,683.85,0.141,72.43,B,EPD Europe
MAT_421,Insulation Variant 19,Insulation,76.49,0.031,67.29,A,EPD Europe
MAT_422,Glass Variant 13,Glass,2504.57,0.818,306.49,A,Engineering Toolbox
MAT_423,Concrete Variant 6,Concrete,2301.48,1.502,296.51,A,EPD Europe
MAT_424,Insulation Variant 16,Insulation,52.56,0.049,55.7,A,EPD Europe
MAT_425,Insulation Variant 10,Insulation,69.29,0.033,58.72,B,Engineering Toolbox
MAT_426,Wood Variant 12,Wood,533.75,0.127,79.34,B,EPD Europe
MAT_427,Insulation Variant 2,Insulation,60.22,0.037,41.98,B,EPD Europe
MAT_428,Wood Variant 6,Wood,610.34,0.134,56.51,B,ICE Database
MAT_429,Concrete Variant 15,Concrete,2393.57,1.444,199.73,C,ICE Database
MAT_430,Concrete Variant 4,Concrete,2352.23,1.5,191.77,D,EPD Europe
MAT_431,Concrete Variant 7,Concrete,2409.8,1.754,219.52,B,EPD Europe
MAT_432,Concrete Variant 7,Concrete,2491.85,1.734,316.92,D,ICE Database
MAT_433,Steel Variant 10,Steel,7778.83,57.867,1752.77,D,EPD Europe
MAT_434,Concrete Variant 5,Concrete,2279.27,1.641,299.3,D,ICE Database
MAT_435,Steel Variant 7,Steel,7948.35,50.884,1846.36,B,EPD Europe
MAT_436,Glass Variant 12,Glass,2547.01,0.965,225.92,C,Engineering Toolbox
MAT_437,Wood Variant 9,Wood,706.7,0.176,58.02,D,EPD Europe
MAT_438,Wood Variant 17,Wood,525.61,0.127,48.43,C,EPD Europe
MAT_439,Steel Variant 12,Steel,7892.51,45.514,2157.52,B,EPD Europe
MAT_440,Concrete Variant 18,Concrete,2469.94,1.42,303.76,B,Engineering Toolbox
MAT_441,Glass Variant 7,Glass,2495.07,1.054,255.31,A,EPD Europe
MAT_442,Steel Variant 5,Steel,7985.8,47.619,2050.92,A,Engineering Toolbox
MAT_443,Steel Variant 3,Steel,7867.21,49.134,1996.53,D,EPD Europe
MAT_444,Steel Variant 13,Steel,7866.76,46.32,1644.01,A,ICE Database
MAT_445,Wood Variant 3,Wood,718.44,0.187,47.82,A,Engineering Toolbox
MAT_446,Concrete Variant 6,Concrete,2296.61,1.742,247.56,D,ICE Database
MAT_447,Wood Variant 20,Wood,591.47,0.127,46.46,D,ICE Database
MAT_448,Concrete Variant 7,Concrete,2308.51,1.773,187.03,C,ICE Database
MAT_449,Insulation Variant 8,Insulation,23.64,0.04,29.49,A,ICE Database
MAT_450,Steel Variant 2,Steel,7818.22,54.756,2329.37,A,ICE Database
MAT_451,Concrete Variant 1,Concrete,2370.7,1.746,294.94,A,Engineering Toolbox
MAT_452,Wood Variant 10,Wood,549.05,0.156,69.03,C,EPD Europe
MAT_453,Insulation Variant 6,Insulation,47.48,0.043,48.54,B,EPD Europe
MAT_454,Wood Variant 4,Wood,474.2,0.147,54.03,B,Engineering Toolbox
MAT_455,Glass Variant 12,Glass,2498.75,0.915,354.76,D,Engineering Toolbox
MAT_456,Steel Variant 6,Steel,7888.58,52.704,1947.32,D,ICE Database
MAT_457,Wood Variant 4,Wood,625.63,0.199,59.37,D,Engineering Toolbox
MAT_458,Insulation Variant 3,Insulation,42.14,0.03,56.26,D,Engineering Toolbox
MAT_459,Wood Variant 19,Wood,559.4,0.191,68.51,A,EPD Europe
MAT_460,Insulation Variant 2,Insulation,94.15,0.049,35.13,D,Engineering Toolbox
MAT_461,Steel Variant 18,Steel,7762.89,54.89,2493.34,B,Engineering Toolbox
MAT_462,Concrete Variant 10,Concrete,2448.53,1.447,294.6,D,Engineering Toolbox
MAT_463,Glass Variant 9,Glass,2512.87,1.002,316.4,A,EPD Europe
MAT_464,Steel Variant 4,Steel,8028.98,47.357,1541.49,D,EPD Europe
MAT_465,Insulation Variant 6,Insulation,86.96,0.024,64.47,C,EPD Europe
MAT_466,Steel Variant 18,Steel,7850.51,48.323,1549.05,D,ICE Database
MAT_467,Glass Variant 7,Glass,2552.93,0.918,366.4,D,Engineering Toolbox
MAT_468,Glass Variant 6,Glass,2513.83,0.87,217.5,C,EPD Europe
MAT_469,Wood Variant 6,Wood,450.16,0.121,37.71,A,EPD Europe
MAT_470,Concrete Variant 17,Concrete,2288.59,1.507,277.28,B,EPD Europe
MAT_471,Glass Variant 17,Glass,2581.47,0.872,293.53,B,Engineering Toolbox
MAT_472,Glass Variant 7,Glass,2408.31,0.845,372.17,D,ICE Database
MAT_473,Glass Variant 1,Glass,2521.61,0.935,276.61,C,EPD Europe
MAT_474,Glass Variant 18,Glass,2444.1,0.903,333.37,A,Engineering Toolbox
MAT_475,Glass Variant 9,Glass,2412.52,0.968,221.51,B,Engineering Toolbox
MAT_476,Wood Variant 5,Wood,506.31,0.137,39.66,A,Engineering Toolbox
MAT_477,Steel Variant 12,Steel,7783.65,56.289,1724.49,C,ICE Database
MAT_478,Wood Variant 14,Wood,471.68,0.144,59.09,B,EPD Europe
MAT_479,Concrete Variant 7,Concrete,2454.04,1.727,309.43,B,ICE Database
MAT_480,Insulation Variant 1,Insulation,73.8,0.041,38.62,C,Engineering Toolbox
MAT_481,Concrete Variant 8,Concrete,2411.97,1.789,206.95,A,EPD Europe
MAT_482,Insulation Variant 19,Insulation,59.26,0.026,52.65,B,EPD Europe
MAT_483,Steel Variant 7,Steel,7834.98,54.768,1666.83,C,ICE Database
MAT_484,Insulation Variant 2,Insulation,36.01,0.044,20.08,C,Engineering Toolbox
MAT_485,Wood Variant 12,Wood,650.86,0.19,32.44,D,EPD Europe
MAT_486,Glass Variant 19,Glass,2597.96,0.843,386.06,C,ICE Database
MAT_487,Concrete Variant 18,Concrete,2337.22,1.822,260.64,A,Engineering Toolbox
MAT_488,Steel Variant 16,Steel,7866.93,58.857,1767.6,C,ICE Database
MAT_489,Wood Variant 15,Wood,594.9,0.194,88.76,C,Engineering Toolbox
MAT_490,Steel Variant 11,Steel,8005.27,58.97,1813.73,A,Engineering Toolbox
MAT_491,Steel Variant 1,Steel,8026.73,49.151,1954.78,D,ICE Database
MAT_492,Concrete Variant 13,Concrete,2266.88,1.655,296.45,C,EPD Europe
MAT_493,Wood Variant 7,Wood,727.33,0.189,32.39,D,EPD Europe
MAT_494,Insulation Variant 11,Insulation,23.42,0.045,79.78,B,Engineering Toolbox
MAT_495,Insulation Variant 12,Insulation,60.27,0.033,56.11,A,EPD Europe
MAT_496,Wood Variant 5,Wood,511.67,0.142,64.59,C,EPD Europe
MAT_497,Insulation Variant 5,Insulation,73.3,0.026,45.03,A,ICE Database
MAT_498,Steel Variant 17,Steel,7755.18,54.784,2491.47,B,EPD Europe
MAT_499,Glass Variant 1,Glass,2437.15,0.832,327.6,C,Engineering Toolbox
MAT_500,Wood Variant 1,Wood,613.75,0.175,73.94,B,EPD Europe
